m3a	m2a	angles_b_a	angles_j1_a	angles_j2_a	m3b	m2b	angles_b_b	angles_j1_b	angles_j2_b	missing_eT
587.831643	367.294745	0.640154	2.789060	2.854004	409.314984	115.472456	0.109480	0.283081	0.527420	400.823249
160.442785	72.852297	2.827598	2.498962	2.668139	184.947442	102.768421	0.785353	0.477395	0.622288	236.725336
171.126539	75.229071	1.797279	0.719165	1.143601	172.560530	48.677072	1.825938	2.612088	1.977759	135.567310
110.709954	85.439591	1.527558	1.366763	0.900159	173.486583	74.892572	2.291864	2.160942	1.368953	165.131848
265.530641	112.807468	1.772928	3.081847	1.887894	162.485464	80.046619	0.225947	0.209956	0.529614	249.969582
333.006320	290.506255	2.142794	2.588677	2.472373	162.256662	123.422119	2.206811	1.488393	0.223967	282.237347
213.880477	119.067254	2.886112	2.635543	2.063576	192.368175	74.109761	0.724799	1.505120	2.334012	157.949503
169.597626	58.746292	0.925924	2.410536	2.853348	271.032626	86.203151	2.964372	2.923403	2.290793	271.114743
134.530675	50.117008	3.082530	1.796644	2.439869	299.226055	74.587863	0.371354	2.512092	0.025603	98.814188
487.456019	470.105656	2.183116	2.739210	2.591543	176.970537	52.735839	2.887470	1.131185	1.999739	398.544206
242.996699	93.455006	2.551962	0.992134	0.176954	428.448945	132.241240	2.787161	1.079246	1.391198	375.756907
174.141780	109.317712	2.022287	2.603251	2.915613	75.718776	58.115615	3.027840	3.028419	0.576263	461.830203
316.486562	250.584011	2.912728	2.827767	2.687075	235.969792	126.903246	0.414652	1.209997	3.030810	144.542810
218.530815	142.608214	1.871020	3.123910	2.271591	127.813647	65.746920	2.813879	2.617781	1.359331	434.413091
149.844931	85.978671	2.929987	2.375207	2.685017	192.731164	131.065244	1.956904	2.009053	2.207263	558.872325
422.702178	365.039594	2.385775	2.026942	2.985090	129.510387	33.639900	1.561494	2.939815	2.047528	308.570485
238.900054	141.535051	0.363932	3.128004	2.588035	92.385706	35.956209	1.564835	1.799080	1.568321	292.387856
143.605273	71.140842	2.175543	2.430530	3.011920	173.315879	83.993495	2.200311	1.414389	0.030401	311.726610
178.378704	123.912304	2.758577	2.603165	0.990730	71.322398	14.677343	1.831146	1.095110	0.759089	351.965096
495.150333	448.436283	2.992277	3.048873	2.289366	154.773535	27.493310	0.717665	1.097886	1.166272	195.691806
96.495465	49.560826	1.622664	2.987679	3.028461	121.188822	111.583893	2.262843	2.232735	0.915937	257.192497
177.001852	81.479336	2.419827	2.128072	3.038362	151.860884	63.593398	2.576262	0.677064	1.001351	463.186801
328.737402	261.934914	1.784943	0.334386	0.930470	181.371927	71.152936	2.562173	2.427648	0.881142	190.262535
469.337002	216.572430	0.514781	3.053727	2.048550	193.175782	81.758768	0.919207	0.979073	2.288590	351.734613
129.311026	72.754289	2.711868	2.644729	3.019824	121.062646	102.073419	0.940729	0.267565	1.902839	241.797199
148.296622	59.868541	2.696038	0.467974	0.653703	185.186405	72.644048	3.116608	1.397009	1.295068	283.185204
166.908830	73.866065	1.122624	2.983796	3.135261	130.182863	74.418048	0.051792	1.819713	1.045977	315.577968
