m3a	m2a	angles_b_a	angles_j1_a	angles_j2_a	m3b	m2b	angles_b_b	angles_j1_b	angles_j2_b	missing_pT
443.618538	169.126726	1.301392	2.568957	1.079886	181.563294	46.008076	2.193363	1.509459	2.191924	161.300004
1139.475427	964.021862	0.836305	2.688096	2.909080	447.995344	328.987568	0.324241	2.161278	2.970972	45.594059
233.941311	137.945410	3.003130	0.158191	1.096443	345.453656	146.463766	2.949823	2.990324	2.720813	340.517559
152.415945	86.921262	2.189924	2.119844	1.997990	173.006850	67.725829	2.105834	0.344752	0.242356	83.919654
281.283457	190.169451	1.156712	2.374658	3.016609	162.764542	87.909516	0.292871	1.537465	2.311445	168.976375
169.334531	87.568657	1.936685	1.971968	2.839075	714.615721	194.110753	0.040540	2.184293	0.570054	227.251224
287.687578	202.781793	3.107123	2.917842	2.854034	199.583993	58.374901	1.907040	0.799167	0.257691	249.621564
249.770044	200.054974	0.393964	2.097647	3.039256	249.370237	47.739583	3.011498	0.714099	1.236761	298.284447
217.623682	54.645821	1.131815	2.715080	2.995765	243.412862	41.117355	2.036062	0.830869	1.206824	301.474388
255.259196	194.530565	2.228768	2.775248	1.981980	131.539490	41.871941	1.872679	0.189164	0.319973	183.468363
241.533902	75.036139	0.515017	1.630375	2.022557	137.517225	106.715801	2.403457	1.530706	0.812199	90.051914
226.728707	96.614727	2.932661	2.157876	2.773245	215.519886	68.177911	2.057567	1.759998	2.015494	286.325656
290.942404	137.070734	0.242156	1.685805	1.336321	350.603444	120.946223	3.095404	0.329561	0.809173	50.504811
437.753389	194.321351	0.823420	3.078348	2.751648	146.437407	51.339478	0.849585	1.639406	2.265693	300.214667
582.756897	135.253809	0.505312	2.807238	3.049525	171.277955	65.479007	0.763983	0.128851	0.061036	355.384807
919.427253	881.103016	1.521403	2.088471	2.667615	207.287424	57.013528	0.210369	2.454109	2.409953	110.736632
241.890689	83.812983	0.029712	2.478244	1.847602	151.540049	81.855119	1.291754	1.402067	1.972462	190.854094
273.687372	82.024575	2.825868	0.167946	1.029146	299.502546	47.969591	1.447276	2.639846	1.005721	154.525313
275.663158	144.528395	0.628908	2.579532	1.729416	682.974487	313.266008	1.635255	0.281683	0.756885	172.479071
206.328388	48.253790	2.838177	1.845499	1.345939	181.478936	39.602248	3.071189	1.787670	2.288931	167.305731
233.465679	120.080485	0.863363	1.992629	1.785064	201.613486	62.178376	3.073906	1.595085	0.645104	157.330078
660.373085	590.792788	2.064207	2.473922	2.701515	180.329114	108.039058	1.536822	0.373439	0.660321	157.489068
307.065079	60.428459	2.009977	0.678469	0.059136	220.112712	86.731822	1.732523	2.860611	3.049933	364.840911
156.402302	125.318625	2.661386	2.756245	3.098285	213.702954	62.112885	1.692550	0.059034	0.623691	161.775731
262.739780	237.487288	0.041784	3.049414	2.280670	133.722372	71.938946	0.266302	1.050325	0.039167	188.406041
197.584091	100.589931	0.420436	2.816117	2.950926	164.814067	66.462162	2.176823	1.255565	0.075626	132.515923
374.638738	320.421180	2.612136	2.642205	2.151525	464.942280	86.290742	2.927666	0.844713	0.569712	413.780353
325.462365	177.483920	2.539019	0.836682	0.296182	270.155704	104.785071	0.582859	2.196435	2.934488	132.375732
350.642831	260.920182	2.355190	2.976647	2.863676	210.279927	155.761816	1.031329	0.126018	1.574570	599.527646
283.428059	226.039614	1.960162	3.094768	2.347145	310.443383	266.385039	1.488096	0.571963	0.696889	242.843405
207.607652	98.942965	1.977533	3.046621	2.670210	230.868720	126.243418	0.801794	0.048205	0.338987	287.315284
216.509784	66.558220	1.998075	3.083456	2.625026	158.682283	116.728909	0.777198	1.672112	1.000097	359.054716
385.143752	364.384190	1.411767	3.033407	1.620862	191.377078	99.145482	0.239752	2.188659	2.550107	297.811217
126.304252	71.484706	2.227726	2.942056	1.914907	162.075565	48.173921	1.845496	1.140667	0.503409	203.980093
721.143250	594.923432	0.881060	3.108120	2.541320	444.900104	113.088036	2.016955	0.917406	0.209353	68.778759
284.540045	135.694949	1.064046	2.340159	2.372422	412.137180	127.940294	0.412050	2.922697	2.592461	208.212203
103.059061	71.768569	1.854843	2.835780	2.186855	170.450727	34.847700	2.743388	2.923170	2.156842	442.388064
355.210409	313.169110	1.289833	2.442283	2.333037	336.147578	130.092587	0.990664	1.116046	1.279058	354.610497
220.707276	120.926507	0.625485	1.592874	2.232578	83.213930	62.100604	0.018825	1.222285	1.932109	207.720213
213.691175	180.527505	2.729325	2.820947	3.002992	132.658421	112.804697	1.203839	1.427878	0.957067	541.989266
276.950928	124.310451	0.329881	3.065413	2.367094	673.609883	532.533013	0.402220	1.252110	0.383920	205.656499
396.904617	306.015903	2.041552	2.871464	1.354962	311.967285	134.925130	1.745154	1.055960	0.424390	260.693465
198.377558	139.732298	2.585070	2.446532	2.953379	144.099065	65.692937	2.093184	1.185975	2.240155	293.993025
672.949446	307.907023	0.584201	2.197754	1.075998	73.466751	14.841610	2.049557	1.408063	1.500146	200.238243
254.534667	49.414571	0.564838	0.338730	0.259553	227.997478	35.603715	2.737942	2.628255	2.606050	132.951814
184.533685	125.731294	0.675606	2.698405	2.487575	176.483747	76.195901	1.164512	2.276530	3.087650	270.779787
351.891628	314.045758	1.576251	2.970071	2.320053	168.269890	92.375315	0.938822	1.693167	1.406287	56.661334
145.616529	72.185698	2.624867	2.883912	1.997485	270.231213	41.658512	1.807833	0.038994	0.512811	237.526544
236.175681	104.636073	1.213432	2.623384	3.007314	188.960586	76.808605	0.168550	2.011579	0.964322	174.728791
398.779129	246.761118	0.605091	2.642687	2.960306	426.928687	73.688150	0.498408	2.144731	2.662353	599.918029
181.745724	102.558309	1.269246	0.565417	0.152462	127.547538	64.786894	1.979763	2.850354	2.771386	172.406380
