m3a	m2a	angles_b_a	angles_j1_a	angles_j2_a	m3b	m2b	angles_b_b	angles_j1_b	angles_j2_b	mT_b	eT_missingT
139.368318	28.515381	2.889584	1.540023	2.348404	108.705953	54.695637	2.770758	0.134718	1.596859	43877.612041	234.547855
148.556229	80.349083	2.529769	2.922817	3.002167	205.317309	49.363247	2.957334	0.574987	1.845166	187257.525640	515.505812
143.639200	51.533181	2.870616	2.737337	2.182072	128.792370	52.213495	2.863355	1.995872	2.121631	63887.933807	514.379515
146.239746	80.275664	2.763148	2.957057	2.802271	135.852932	65.784224	0.405262	0.322824	1.682060	3724.471828	460.030901
373.538416	312.320405	1.713597	2.098595	2.739924	122.368939	44.366876	2.455811	0.945681	3.092940	51137.764226	193.318589
367.615257	46.358743	1.796344	0.270734	1.188602	104.022054	41.871151	2.825344	2.940823	2.968476	233027.975559	390.142314
171.975249	66.273696	2.635290	3.050207	2.411481	96.170703	64.124488	0.005626	0.074150	2.240554	0.571194	493.608147
178.042996	46.485485	2.023212	2.275642	2.864356	85.195940	16.923018	2.470382	2.080332	1.534391	91157.525708	350.304465
207.020496	154.043382	2.144441	2.914619	2.989552	182.840799	83.715397	0.158892	0.317846	0.753400	394.308510	197.347377
588.420651	307.896685	2.726656	1.803116	3.044706	167.730048	52.895515	2.044459	0.453103	0.543076	75196.570158	323.845933
305.039250	90.908313	1.793257	1.108612	1.016999	168.692207	73.146838	1.332182	2.459605	3.026416	12362.920634	136.683026
158.296169	82.056826	2.711258	2.576703	2.608952	91.738188	68.688375	1.950092	2.213706	1.130558	16538.434109	334.549336
161.006085	78.486318	2.357147	2.660390	2.211068	181.353963	77.968605	1.622088	0.826909	0.764797	130372.079802	528.745136
164.927335	78.509355	2.948906	2.663881	2.142964	178.949332	70.214623	0.663559	1.337549	0.549643	11176.713382	363.822857
160.995944	54.894698	2.146921	1.261019	1.138399	179.792105	34.615417	2.765863	0.091090	1.154851	274086.095242	354.090257
202.236550	85.381580	2.106586	2.116282	2.234790	72.659700	21.933993	2.230864	1.588963	0.926765	114504.615810	345.644723
183.292592	72.794638	2.728586	1.316769	0.595771	156.345066	32.436689	1.082319	3.003658	2.612085	4968.647532	146.516944
213.203228	54.209938	2.210672	0.469450	1.115692	140.225989	76.055557	1.556816	2.655390	1.221369	12829.619223	122.608061
248.291141	84.399831	2.085506	2.850765	2.813377	186.051793	65.982489	2.369644	2.336337	2.488198	67362.526271	299.951148
160.956809	78.797356	0.069468	2.489403	2.807843	117.127756	35.188868	1.656368	0.761873	3.125296	19207.243393	138.640773
255.336874	199.588003	2.497704	1.020717	0.982507	176.027432	112.836043	2.413860	2.013602	1.747731	88169.964394	255.138373
146.211656	52.735420	0.652847	2.867242	2.168892	129.249319	93.357209	2.620141	1.266509	2.269370	20705.794296	234.279542
161.781373	50.840496	2.388267	3.107384	2.888393	134.822454	87.145442	2.573048	1.386645	1.024681	64240.894712	493.250659
402.910791	286.200460	2.664745	2.554161	2.132458	178.873469	56.300945	0.068708	1.275961	1.820204	70.420969	162.811917
99.251522	47.660889	1.411603	2.454984	2.931685	176.609602	85.278256	2.643873	1.736878	1.966597	124586.327047	381.399129
564.319681	479.590118	2.250588	2.830202	2.072264	125.891946	91.023542	1.419362	1.019854	0.854943	83113.548381	655.482710
175.885442	58.446231	2.242515	3.117404	2.517175	246.199919	65.529893	1.916765	0.837055	1.368055	64902.848772	471.474883
264.848150	163.004438	0.276607	2.908955	1.353395	198.109327	50.716902	2.580365	0.636139	2.920208	103359.088399	180.059350
294.793859	214.224774	1.863288	1.578513	1.321924	232.293815	59.645460	2.551420	0.324656	2.392542	190317.707717	258.584250
235.123361	202.941571	0.911617	1.905050	2.167324	165.133490	94.831027	2.382107	2.963917	2.374747	119372.877855	368.140248
176.369818	44.900788	0.918249	2.876354	2.856688	115.522758	20.087281	2.126386	2.511108	1.415879	111776.113382	397.784194
172.419055	34.831723	2.742518	2.348130	1.987720	160.861650	25.522925	0.278237	1.673788	1.802930	1209.306132	120.868645
342.939391	248.211073	1.462265	2.787171	2.656874	402.646002	106.662695	2.658152	1.163585	3.104222	510332.799537	666.827405
366.119998	278.354803	2.023701	2.770940	2.288425	133.693461	62.478705	0.877485	2.008720	0.199480	19651.380797	480.933245
225.776176	147.229198	0.014683	1.283052	2.175772	273.202634	75.328085	2.090280	2.886964	2.719414	154161.047388	374.628163
211.047439	63.266314	1.610280	2.449691	3.022925	121.477520	104.018315	1.695488	2.143668	0.961227	4597.389624	297.944973
285.351476	137.270552	1.837599	2.385708	1.021132	180.871224	30.218868	2.537644	0.200748	0.404658	189594.746832	395.122768
184.416204	49.637254	0.953441	1.833474	3.014686	215.023636	63.451958	2.816888	1.587673	0.403637	130691.296876	223.533131
208.784880	98.166973	2.218428	0.102672	1.274736	201.301990	13.648844	1.921716	1.981159	1.568217	20850.465697	40.992045
118.462778	43.110966	2.407614	2.270905	2.181207	146.145559	51.741549	1.628803	0.904791	1.095611	176819.325432	502.809609
125.549272	45.126209	3.071234	2.294659	2.683824	77.419606	48.697510	1.935100	1.031400	2.053022	30206.501121	456.158746
174.182747	84.094699	0.600580	1.502359	2.579821	127.065160	28.623827	1.403934	2.250227	1.879005	6516.664031	56.806730
247.148763	165.893251	2.554327	2.938830	2.675804	120.704168	58.128932	0.662115	1.419657	0.389789	1662.466144	67.878329
